iter	Passed	Remaining
0	1	120
1	2	119
2	3	111
3	4	101
4	5	99
5	6	98
6	7	96
7	8	96
8	9	94
9	10	92
10	11	90
11	11	87
12	12	86
13	14	86
14	14	84
15	16	84
16	17	84
17	18	83
18	19	81
19	20	81
20	21	79
21	22	78
22	23	77
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	77	21
78	78	20
79	79	19
80	81	19
81	82	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
