iter	Passed	Remaining
0	150	150634
1	151	75675
2	155	51518
3	158	39388
4	160	31952
5	162	26882
6	165	23412
7	166	20623
8	169	18650
9	171	16965
10	172	15484
11	173	14249
12	173	13206
13	175	12345
14	176	11586
15	177	10897
16	178	10327
17	179	9789
18	180	9315
19	181	8890
20	182	8499
21	183	8173
22	184	7839
23	185	7552
24	186	7280
25	187	7022
26	188	6784
27	189	6567
28	190	6368
29	190	6175
30	192	6006
31	193	5838
32	193	5678
33	194	5527
34	195	5385
35	196	5248
36	196	5122
37	197	5003
38	198	4887
39	199	4776
40	199	4669
41	200	4567
42	200	4470
43	201	4378
44	202	4289
45	202	4203
46	203	4121
47	203	4042
48	204	3965
49	204	3893
50	205	3824
51	206	3757
52	206	3696
53	207	3637
54	208	3577
55	208	3518
56	209	3462
57	209	3406
58	210	3355
59	210	3304
60	211	3255
61	211	3207
62	212	3160
63	212	3114
64	213	3070
65	213	3027
66	214	2987
67	215	2948
68	215	2910
69	216	2872
70	216	2836
71	217	2801
72	217	2767
73	218	2734
74	219	2702
75	219	2670
76	220	2640
77	221	2612
78	221	2587
79	222	2560
80	223	2532
81	223	2504
82	223	2474
83	224	2448
84	225	2422
85	225	2397
86	226	2373
87	226	2348
88	227	2325
89	227	2302
90	228	2279
91	228	2257
92	229	2235
93	229	2214
94	230	2193
95	230	2172
96	231	2152
97	231	2133
98	232	2113
99	232	2094
100	233	2075
101	233	2057
102	234	2040
103	234	2022
104	235	2005
105	235	1989
106	236	1975
107	237	1961
108	238	1946
109	238	1930
110	239	1914
111	239	1900
112	240	1885
113	240	1870
114	241	1856
115	241	1842
116	242	1827
117	242	1813
118	243	1800
119	243	1787
120	244	1773
121	244	1760
122	245	1747
123	245	1735
124	246	1723
125	246	1711
126	247	1698
127	247	1686
128	248	1674
129	248	1663
130	249	1652
131	249	1641
132	250	1630
133	250	1619
134	251	1610
135	252	1602
136	252	1593
137	253	1583
138	254	1574
139	254	1564
140	255	1554
141	255	1544
142	256	1534
143	256	1525
144	257	1515
145	257	1507
146	258	1498
147	258	1489
148	259	1481
149	259	1472
150	260	1464
151	260	1455
152	261	1447
153	261	1439
154	262	1430
155	262	1422
156	263	1414
157	264	1406
158	264	1399
159	265	1391
160	265	1382
161	266	1376
162	267	1371
163	267	1365
164	268	1358
165	269	1351
166	269	1344
167	270	1337
168	270	1331
169	271	1324
170	271	1318
171	272	1311
172	273	1305
173	273	1298
174	274	1292
175	274	1286
176	275	1280
177	275	1274
178	276	1268
179	277	1262
180	277	1256
181	278	1250
182	278	1245
183	279	1239
184	279	1233
185	280	1228
186	281	1225
187	282	1220
188	283	1217
189	284	1212
190	285	1207
191	285	1202
192	286	1197
193	287	1192
194	287	1187
195	288	1182
196	288	1177
197	289	1172
198	290	1167
199	290	1162
200	291	1158
201	291	1153
202	292	1148
203	293	1143
204	293	1139
205	294	1134
206	295	1130
207	295	1126
208	296	1122
209	297	1119
210	298	1114
211	298	1110
212	299	1105
213	299	1101
214	300	1096
215	300	1092
216	301	1087
217	301	1083
218	302	1078
219	303	1074
220	303	1070
221	304	1066
222	304	1062
223	305	1058
224	306	1054
225	306	1049
226	307	1046
227	307	1042
228	308	1038
229	309	1034
230	309	1030
231	310	1026
232	310	1023
233	311	1019
234	312	1016
235	312	1013
236	313	1009
237	314	1005
238	314	1002
239	315	998
240	315	994
241	316	991
242	316	987
243	317	984
244	318	980
245	318	977
246	319	973
247	319	969
248	320	966
249	321	963
250	321	959
251	322	956
252	322	952
253	323	949
254	323	946
255	324	942
256	324	939
257	325	936
258	326	932
259	326	930
260	327	927
261	328	924
262	328	921
263	329	918
264	329	915
265	330	911
266	331	908
267	331	905
268	332	902
269	332	899
270	333	896
271	333	893
272	334	890
273	335	888
274	335	885
275	336	882
276	337	879
277	337	876
278	338	873
279	338	871
280	339	868
281	340	865
282	340	862
283	341	860
284	342	858
285	342	856
286	343	853
287	344	850
288	344	848
289	345	845
290	346	843
291	346	840
292	347	837
293	347	835
294	348	832
295	349	830
296	349	827
297	350	825
298	351	823
299	351	820
300	352	818
301	352	815
302	353	813
303	354	810
304	354	808
305	355	805
306	355	803
307	356	800
308	357	798
309	357	796
310	358	794
311	359	791
312	359	789
313	360	786
314	360	784
315	361	782
316	361	779
317	362	777
318	363	775
319	363	773
320	364	770
321	364	768
322	365	766
323	366	763
324	366	761
325	367	759
326	367	757
327	368	755
328	369	753
329	369	751
330	370	748
331	371	746
332	371	744
333	372	743
334	373	741
335	373	738
336	374	736
337	375	734
338	375	732
339	376	730
340	376	728
341	377	726
342	378	724
343	378	722
344	379	720
345	379	717
346	380	715
347	380	713
348	381	711
349	382	709
350	382	707
351	383	705
352	383	703
353	384	701
354	384	699
355	385	697
356	385	695
357	386	693
358	387	691
359	388	690
360	388	688
361	389	686
362	389	684
363	390	682
364	391	680
365	391	678
366	392	676
367	392	674
368	393	672
369	393	670
370	394	668
371	395	667
372	395	665
373	396	663
374	397	661
375	397	659
376	398	657
377	398	656
378	399	654
379	399	652
380	400	650
381	401	648
382	401	647
383	402	645
384	403	644
385	404	642
386	404	641
387	405	640
388	406	638
389	407	637
390	408	635
391	408	634
392	409	632
393	410	631
394	410	629
395	411	628
396	412	626
397	413	625
398	414	624
399	414	622
400	415	620
401	416	619
402	417	617
403	417	616
404	418	615
405	419	613
406	420	612
407	420	610
408	421	608
409	421	607
410	422	605
411	423	603
412	423	602
413	424	600
414	425	599
415	425	597
416	426	596
417	427	594
418	427	592
419	428	591
420	428	589
421	429	588
422	429	586
423	430	584
424	431	583
425	431	581
426	432	580
427	433	579
428	434	577
429	434	576
430	435	574
431	435	572
432	436	571
433	436	569
434	437	568
435	438	566
436	438	565
437	439	563
438	439	562
439	440	560
440	440	558
441	441	557
442	442	555
443	442	554
444	443	552
445	444	551
446	444	550
447	445	548
448	445	547
449	446	545
450	447	544
451	448	543
452	448	541
453	449	540
454	450	539
455	450	537
456	451	536
457	451	534
458	452	533
459	453	531
460	453	530
461	454	528
462	454	527
463	455	526
464	455	524
465	456	523
466	457	521
467	457	520
468	458	518
469	458	517
470	459	516
471	460	514
472	460	513
473	461	511
474	461	510
475	462	509
476	463	507
477	463	506
478	464	505
479	465	503
480	465	502
481	466	501
482	466	499
483	467	498
484	468	497
485	468	495
486	469	494
487	469	493
488	470	491
489	471	490
490	471	489
491	472	487
492	472	486
493	473	485
494	474	483
495	474	482
496	475	481
497	476	479
498	476	478
499	477	477
500	478	476
501	478	475
502	479	473
503	480	472
504	480	471
505	481	469
506	482	468
507	482	467
508	483	466
509	483	464
510	484	463
511	485	462
512	485	461
513	486	459
514	486	458
515	487	457
516	488	456
517	488	454
518	489	453
519	489	452
520	490	451
521	491	449
522	491	448
523	492	447
524	493	446
525	493	444
526	494	443
